,trial number,sensor position,sample num,sensor value,subject identifier,matching condition,channel,name,time
5,30,FP1,0,-3.55,a,S1 obj,0,co2a0000364,0.0
6,30,FP1,1,-5.015,a,S1 obj,0,co2a0000364,0.00390625
7,30,FP1,2,-5.503,a,S1 obj,0,co2a0000364,0.0078125
8,30,FP1,3,-3.55,a,S1 obj,0,co2a0000364,0.01171875
9,30,FP1,4,-0.621,a,S1 obj,0,co2a0000364,0.015625
10,30,FP1,5,1.821,a,S1 obj,0,co2a0000364,0.01953125
11,30,FP1,6,2.309,a,S1 obj,0,co2a0000364,0.0234375
12,30,FP1,7,0.844,a,S1 obj,0,co2a0000364,0.02734375
13,30,FP1,8,0.844,a,S1 obj,0,co2a0000364,0.03125
14,30,FP1,9,3.286,a,S1 obj,0,co2a0000364,0.03515625
15,30,FP1,10,7.68,a,S1 obj,0,co2a0000364,0.0390625
16,30,FP1,11,10.122,a,S1 obj,0,co2a0000364,0.04296875
17,30,FP1,12,9.145,a,S1 obj,0,co2a0000364,0.046875
18,30,FP1,13,5.239,a,S1 obj,0,co2a0000364,0.05078125
19,30,FP1,14,0.844,a,S1 obj,0,co2a0000364,0.0546875
20,30,FP1,15,-0.621,a,S1 obj,0,co2a0000364,0.05859375
21,30,FP1,16,2.309,a,S1 obj,0,co2a0000364,0.0625
22,30,FP1,17,6.215,a,S1 obj,0,co2a0000364,0.06640625
23,30,FP1,18,7.192,a,S1 obj,0,co2a0000364,0.0703125
24,30,FP1,19,4.262,a,S1 obj,0,co2a0000364,0.07421875
25,30,FP1,20,-1.109,a,S1 obj,0,co2a0000364,0.078125
26,30,FP1,21,-5.503,a,S1 obj,0,co2a0000364,0.08203125
27,30,FP1,22,-6.48,a,S1 obj,0,co2a0000364,0.0859375
28,30,FP1,23,-4.038,a,S1 obj,0,co2a0000364,0.08984375
29,30,FP1,24,-0.132,a,S1 obj,0,co2a0000364,0.09375
30,30,FP1,25,1.821,a,S1 obj,0,co2a0000364,0.09765625
31,30,FP1,26,1.821,a,S1 obj,0,co2a0000364,0.1015625
32,30,FP1,27,0.356,a,S1 obj,0,co2a0000364,0.10546875
33,30,FP1,28,-0.132,a,S1 obj,0,co2a0000364,0.109375
34,30,FP1,29,1.821,a,S1 obj,0,co2a0000364,0.11328125
35,30,FP1,30,4.262,a,S1 obj,0,co2a0000364,0.1171875
36,30,FP1,31,6.704,a,S1 obj,0,co2a0000364,0.12109375
37,30,FP1,32,7.192,a,S1 obj,0,co2a0000364,0.125
38,30,FP1,33,5.727,a,S1 obj,0,co2a0000364,0.12890625
39,30,FP1,34,4.262,a,S1 obj,0,co2a0000364,0.1328125
