,0,C,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35,C36,C37,C38,C39,C40,C41,C42,C43,C44,C45,C46,C47,C48,C49,C50,C51,C52,C53,C54,C55,C56,C57,C58,C59,C60,C61,C62
0,1,-3.55,-4.476,-1.0170000000000001,-0.6609999999999999,-6.082999999999999,-7.64,-4.313,-1.2,-7.507000000000001,-4.405,-6.775,-1.6480000000000001,-4.405,-8.921,-7.7410000000000005,-4.1,24.017,-2.319,-11.922,-5.381,1.719,1.0070000000000001,1.78,-0.488,2.391,-2.207,-1.475,-0.997,1.0070000000000001,-2.574,-2.716,-2.441,-0.682,6.46,-8.453,-3.042,2.8480000000000003,-1.139,-3.937,-2.096,-5.492999999999999,-0.22399999999999998,-0.7929999999999999,-0.254,-5.809,1.76,-1.8619999999999999,-4.71,1.3430000000000002,0.6,0.387,-0.7829999999999999,7.7620000000000005,-0.773,-6.337000000000001,-7.09,-3.011,-0.6,-2.625,0.8240000000000001,2.6039999999999996,1.79,-3.56
1,1,-5.015,-3.4989999999999997,-3.947,5.1979999999999995,-4.618,-9.593,-2.8480000000000003,1.2409999999999999,-5.066,-3.9160000000000004,-4.822,-0.183,-3.9160000000000004,-7.456,-6.276,-4.588,-21.881,0.61,-16.805,4.873,0.743,1.495,1.2919999999999998,1.465,1.4140000000000001,-0.743,1.455,0.46799999999999997,1.495,-2.085,-3.2039999999999997,-4.395,0.295,2.065,-6.0120000000000005,-4.018,-4.9639999999999995,0.8140000000000001,-4.913,-0.631,-3.052,1.2409999999999999,-0.305,1.699,-4.343999999999999,1.272,-3.326,-3.733,-0.122,2.065,-0.102,0.682,-7.375,-0.285,-3.408,1.2109999999999999,-2.523,-0.11199999999999999,-2.625,1.3119999999999998,2.116,1.3019999999999998,-4.537
2,1,-5.502999999999999,-1.058,-5.9,10.569,-2.177,-7.151,-0.40700000000000003,2.7060000000000004,-0.6709999999999999,-1.475,-0.9159999999999999,0.7929999999999999,-1.475,-4.527,-2.37,-6.053,-3.815,2.075,-10.457,10.244000000000002,-0.722,1.984,-0.6609999999999999,2.441,-0.051,1.2109999999999999,0.966,0.46799999999999997,0.519,-1.597,-3.693,-4.883,-1.17,-5.2589999999999995,-1.129,-3.042,-6.917000000000001,0.326,-2.96,2.299,-0.61,1.729,-3.235,2.675,-1.4140000000000001,-0.682,-2.838,-1.2919999999999998,-2.563,2.065,-2.055,1.6580000000000001,-2.9810000000000003,1.18,-18.055999999999997,4.14,-1.058,-0.6,-2.625,0.8240000000000001,0.6509999999999999,0.326,-5.025
3,1,-3.55,1.383,-4.9239999999999995,13.987,1.2409999999999999,0.17300000000000001,1.058,3.682,1.77,-0.01,0.061,1.77,-0.01,-2.574,1.048,-7.517,-5.28,-1.3430000000000002,11.515,0.478,-2.187,1.495,-3.591,2.93,-1.0270000000000001,3.1639999999999997,-3.428,-0.02,-1.4340000000000002,-1.597,-4.669,-2.441,-3.611,-8.189,3.7539999999999996,-0.6,-5.452000000000001,-1.6280000000000001,1.923,4.252,-0.122,1.729,-9.094,2.187,0.539,-2.635,-1.8619999999999999,1.6380000000000001,-4.5169999999999995,2.553,-4.985,2.635,2.391,1.6680000000000001,6.846,12.440999999999999,0.40700000000000003,-1.577,-3.113,0.336,-2.279,-0.6509999999999999,-3.56
4,1,-0.621,3.3369999999999997,-2.97,13.499,2.7060000000000004,8.962,1.546,3.682,1.2819999999999998,-0.01,-2.8689999999999998,1.2819999999999998,-0.01,-3.062,0.071,-8.982000000000001,0.58,-1.3430000000000002,3.215,0.478,-2.187,0.519,-5.544,2.93,-1.516,5.117,-9.776,-0.997,-3.387,-1.597,-5.646,0.488,-5.564,-4.283,5.218999999999999,3.306,-6.917000000000001,-2.116,5.829,3.764,-2.075,2.7060000000000004,-14.954,1.2109999999999999,1.516,-3.611,-0.885,4.079,-4.0280000000000005,2.553,-7.426,3.611,2.391,1.18,4.893,-1.2309999999999999,0.40700000000000003,-2.553,-3.113,-0.153,-3.7430000000000003,-1.139,-0.631
5,1,1.821,2.8480000000000003,-1.994,9.593,2.7060000000000004,14.333,0.57,3.194,-2.136,-0.987,-7.751,1.2819999999999998,-0.987,-4.527,-4.812,-9.959,1.068,-1.3430000000000002,0.773,-2.452,-1.2109999999999999,0.519,-6.032,2.441,-1.516,6.093,-12.705,-1.485,-4.364,-1.597,-6.622000000000001,2.93,-6.541,3.53,2.289,5.747000000000001,-11.8,-0.163,5.341,1.811,-4.5169999999999995,3.682,-16.418,0.23399999999999999,0.051,-2.146,-2.35,5.056,-1.587,3.53,-8.891,4.1,-0.539,-2.7260000000000004,-0.966,3.1639999999999997,-0.081,-3.042,-3.6010000000000004,-0.6409999999999999,-3.7430000000000003,-1.139,1.811
6,1,2.309,2.36,-1.994,4.2219999999999995,1.729,13.357000000000001,0.081,2.218,-4.578,-2.94,-11.658,0.305,-2.94,-3.062,-10.671,-10.447000000000001,5.462999999999999,-0.8540000000000001,5.656000000000001,-0.498,0.254,0.519,-4.079,2.441,-1.0270000000000001,6.582000000000001,-10.264000000000001,-0.997,-3.8760000000000003,-1.109,-6.1339999999999995,1.953,-5.0760000000000005,9.389,-2.594,5.2589999999999995,-10.824000000000002,3.255,1.923,-0.631,-5.492999999999999,4.171,-10.559000000000001,0.23399999999999999,-1.4140000000000001,1.272,-4.303,4.567,0.366,4.018,-7.914,4.588,2.8789999999999996,-0.773,-3.408,-0.254,-1.058,-2.553,-3.113,-0.153,-2.279,-0.6509999999999999,2.299
7,1,0.8440000000000001,2.8480000000000003,-2.97,1.2919999999999998,1.2409999999999999,7.0089999999999995,0.57,1.2409999999999999,-3.6010000000000004,-2.452,-10.681,0.305,-2.452,3.286,-12.136,-9.471,6.439,-2.8080000000000003,10.05,-0.987,0.743,0.519,-2.126,2.441,-0.539,7.07,-3.9160000000000004,0.46799999999999997,-2.411,-0.621,-4.669,-0.488,-0.682,10.854000000000001,-5.524,2.818,1.383,6.185,-1.495,-0.631,-3.54,3.682,0.183,1.2109999999999999,-0.9259999999999999,5.178,-4.791,4.079,0.8540000000000001,3.53,-4.496,5.0760000000000005,3.855,-0.773,-27.822,-11.485,-0.57,-1.577,-2.136,-0.153,-0.326,-0.163,1.3219999999999998
8,1,0.8440000000000001,4.801,-1.0170000000000001,1.78,2.218,0.17300000000000001,1.546,0.753,0.7929999999999999,-0.01,-4.822,0.305,-0.01,12.075,-6.765,-5.564,-6.256,3.052,-4.11,2.92,0.743,0.519,-0.17300000000000001,2.441,-0.539,6.093,2.431,0.956,-0.946,-0.132,-2.228,-1.953,6.154,9.878,-4.059,-0.11199999999999999,17.008,7.1610000000000005,-1.0070000000000001,0.34600000000000003,0.8540000000000001,2.218,10.437000000000001,2.187,1.0270000000000001,8.107999999999999,-3.326,3.103,-0.61,2.065,-1.078,4.1,-2.492,1.6680000000000001,-29.287,-8.067,-0.081,-1.088,-1.16,0.336,0.6509999999999999,0.326,0.8340000000000001
9,1,3.286,7.731,4.354,5.1979999999999995,4.659,-1.78,2.523,0.264,6.165,2.92,3.967,-0.183,2.92,18.422,1.536,0.295,-0.397,2.075,-8.016,-2.452,0.254,-0.45799999999999996,0.804,1.465,-0.539,4.14,5.361000000000001,-0.02,-0.946,-0.132,-0.763,0.977,12.99,10.366,2.289,-1.088,23.355999999999998,5.207999999999999,3.387,0.8340000000000001,5.249,1.2409999999999999,15.32,2.187,3.957,8.107999999999999,0.092,3.591,-2.075,0.6,1.851,2.146,0.43700000000000006,0.6920000000000001,-13.173,-13.925999999999998,0.895,-0.6,-0.6709999999999999,-0.153,0.163,-0.163,3.2760000000000002
10,1,7.68,8.708,9.725,7.64,6.612,0.6609999999999999,3.011,0.264,8.606,3.8960000000000004,9.827,-0.183,3.8960000000000004,16.469,7.395,7.619,0.092,-2.8080000000000003,-22.176,-9.288,0.254,-0.946,0.315,0.0,-1.0270000000000001,-0.254,4.873,-1.485,-1.923,-1.597,-0.763,6.836,16.408,12.319,9.125,-0.11199999999999999,14.567,1.79,7.294,-0.142,7.202000000000001,0.264,12.39,1.699,5.422000000000001,5.178,2.045,4.079,-1.099,-1.3530000000000002,3.3160000000000003,-1.272,2.391,-0.773,-9.755,-10.997,0.895,-1.577,-2.136,-1.129,-0.8140000000000001,-0.163,6.694
11,1,10.122,7.731,13.630999999999998,7.151,7.1,4.567,2.523,0.753,7.141,3.408,11.78,-0.183,3.408,6.704,7.395,11.525,-1.3730000000000002,-0.8540000000000001,-4.598,-3.9160000000000004,0.743,-1.4340000000000002,-0.17300000000000001,-1.465,-1.0270000000000001,-5.1370000000000005,2.431,-3.927,-2.8989999999999996,-4.527,-4.181,11.719000000000001,13.479000000000001,12.319,12.054,2.818,-1.058,-0.163,7.294,-0.142,5.737,0.264,5.066,0.722,4.934,0.7829999999999999,2.533,4.567,1.3430000000000002,-1.3530000000000002,3.805,-3.713,1.4140000000000001,0.203,-10.732000000000001,-8.067,0.40700000000000003,-3.042,-4.578,-2.106,-1.3019999999999998,-0.163,9.623
12,1,9.145,3.825,12.655,4.2219999999999995,5.636,6.032,1.546,1.729,4.211,1.943,8.362,-0.183,1.943,-4.038,1.536,10.061,0.58,0.122,0.285,-7.334,1.719,-1.4340000000000002,0.315,-2.93,-1.0270000000000001,-8.067,-0.498,-4.9030000000000005,-4.364,-7.456,-7.599,12.207,6.643,6.46,11.078,5.2589999999999995,-7.406000000000001,1.3019999999999998,4.364,0.34600000000000003,2.8080000000000003,0.264,-2.258,0.722,3.469,-3.123,0.092,4.079,4.761,-1.3530000000000002,2.8280000000000003,-5.178,1.4140000000000001,-0.773,-4.873,-6.114,-0.57,-4.506,-7.019,-2.594,-1.3019999999999998,-0.163,9.135
13,1,5.239,-0.57,6.795,1.2919999999999998,3.682,3.591,1.058,2.7060000000000004,2.258,0.478,3.4789999999999996,0.305,0.478,-9.41,-4.323,3.713,3.51,-4.272,2.238,-8.799,1.2309999999999999,-1.4340000000000002,-0.17300000000000001,-4.395,-2.004,-10.02,-5.381,-5.88,-5.341,-9.41,-10.04,7.812,-0.193,-3.7939999999999996,7.172000000000001,6.724,-1.546,4.72,1.4340000000000002,2.787,-0.61,1.2409999999999999,-6.165,2.187,2.004,-4.588,-3.326,3.103,4.272,-1.3530000000000002,0.875,-5.666,2.8789999999999996,-2.238,-0.966,-5.1370000000000005,-0.57,-5.971,-8.972000000000001,-3.571,-1.3019999999999998,-0.163,5.229
14,1,0.8440000000000001,-3.011,1.4240000000000002,-0.17300000000000001,2.7060000000000004,-0.315,2.523,4.171,3.235,0.478,-0.42700000000000005,1.2819999999999998,0.478,-7.456,-6.276,-3.611,3.0210000000000004,-4.761,2.7260000000000004,-3.9160000000000004,-0.23399999999999999,-1.4340000000000002,-2.614,-4.883,-3.469,-10.02,-10.752,-6.856,-7.294,-10.874,-11.505,1.465,-1.6580000000000001,-11.119000000000002,4.242,6.724,8.219,5.207999999999999,1.4340000000000002,3.2760000000000002,-1.099,1.2409999999999999,-5.676,4.14,2.492,-4.588,-6.744,2.614,0.366,-1.841,-3.031,-6.643,1.4140000000000001,-3.215,-29.775,-16.855999999999998,0.895,-6.9479999999999995,-9.46,-4.059,-2.767,-0.6509999999999999,1.3219999999999998
15,1,-0.621,-2.035,-1.994,-0.6609999999999999,4.171,-1.78,4.476,4.659,5.676,1.943,-1.4040000000000001,2.747,1.943,-2.574,-3.835,-7.029,1.556,-3.784,-2.645,-7.8229999999999995,-2.187,-2.8989999999999996,-6.032,-6.348,-4.934,-10.997,-15.635,-8.321,-8.759,-10.874,-11.505,-1.465,2.248,-11.607000000000001,4.73,4.771,8.708,0.8140000000000001,3.8760000000000003,2.299,0.366,-0.22399999999999998,-3.235,5.605,4.445,-5.0760000000000005,-8.209,3.591,-4.5169999999999995,-3.306,-8.402999999999999,-8.107999999999999,1.4140000000000001,-2.238,3.9160000000000004,-3.6719999999999997,2.36,-8.413,-10.437000000000001,-5.035,-5.207999999999999,-2.116,-0.142
16,1,2.309,1.383,0.44799999999999995,-1.6380000000000001,6.612,1.149,6.428999999999999,5.147,8.118,3.8960000000000004,0.061,2.747,3.8960000000000004,-0.132,0.5589999999999999,-6.053,1.556,-1.831,-2.157,-0.987,-3.6519999999999997,-3.8760000000000003,-8.474,-7.324,-6.399,-11.972999999999999,-16.612000000000002,-9.298,-9.735,-10.874,-11.993,0.0,7.131,-5.747000000000001,6.683,2.33,-0.57,-5.046,7.294,-0.142,2.8080000000000003,-2.665,-0.305,6.093,6.8870000000000005,-6.541,-7.721,5.544,-6.957999999999999,-5.2589999999999995,-12.309000000000001,-11.037,2.8789999999999996,1.6680000000000001,0.987,-23.691999999999997,3.825,-9.389,-10.925,-6.5,-7.1610000000000005,-2.6039999999999996,2.299
17,1,6.215,5.29,5.819,-2.614,8.565,5.544,6.917000000000001,4.171,8.606,4.873,2.502,2.258,4.873,-3.55,3.489,-2.146,0.092,-0.366,-9.969,-7.8229999999999995,-3.1639999999999997,-4.364,-8.962,-8.301,-5.91,-11.972999999999999,-11.729000000000001,-8.809,-9.735,-10.386,-11.505,3.906,9.084,0.6,7.66,-0.11199999999999999,-10.824000000000002,-8.464,8.27,-2.096,4.761,-5.595,2.625,5.117,7.8629999999999995,-9.471,-5.28,7.497000000000001,-5.981,-5.747000000000001,-12.309000000000001,-12.014000000000001,1.4140000000000001,1.18,-2.92,-4.1610000000000005,3.825,-8.901,-10.925,-6.989,-6.672999999999999,-2.6039999999999996,5.7170000000000005
18,1,7.192,5.778,9.237,-2.126,8.077,8.474,5.452000000000001,2.7060000000000004,7.629,4.873,3.967,0.7929999999999999,4.873,-9.898,2.513,0.295,3.998,-4.272,-14.364,-8.311,-1.2109999999999999,-3.8760000000000003,-6.032,-7.812,-3.957,-10.508,-3.428,-7.832999999999999,-7.294,-9.898,-11.017000000000001,6.348,7.131,2.553,6.683,-1.577,-12.777000000000001,-6.999,5.341,-2.5839999999999996,5.249,-7.06,4.0889999999999995,3.1639999999999997,6.399,-11.424000000000001,-0.885,7.497000000000001,-1.587,-5.747000000000001,-8.402999999999999,-10.549000000000001,0.9259999999999999,-4.678999999999999,-30.263,-5.625,2.36,-7.9239999999999995,-10.437000000000001,-6.989,-4.72,-2.116,7.182
19,1,4.262,3.825,7.772,1.2919999999999998,5.147,7.497000000000001,3.011,1.729,5.676,3.408,4.944,-0.6709999999999999,3.408,-14.780999999999999,-0.905,-1.17,-2.838,0.61,3.215,-0.01,1.2309999999999999,-3.387,-2.126,-6.836,-2.004,-7.579,2.431,-6.367999999999999,-4.852,-8.921,-9.552,3.418,3.225,-0.865,2.7769999999999997,-1.577,-6.428999999999999,-3.092,0.45799999999999996,-2.096,4.272,-6.082999999999999,4.0889999999999995,1.2109999999999999,3.469,-10.935,2.533,5.056,2.319,-4.283,-2.543,-8.107999999999999,-1.516,-0.773,-2.431,-0.254,0.40700000000000003,-6.9479999999999995,-8.484,-6.0120000000000005,-1.79,-0.6509999999999999,4.252
20,1,-1.109,-0.57,1.912,6.175,0.753,3.591,0.57,0.264,4.211,1.943,3.4789999999999996,-1.16,1.943,-14.780999999999999,-4.323,-4.588,-2.35,1.587,-7.039,-1.963,2.207,-2.411,0.315,-5.371,-2.004,-5.625,1.455,-5.88,-3.387,-7.945,-8.575,-2.441,0.295,-4.283,-2.106,-1.577,1.383,-0.6509999999999999,-5.89,-1.607,2.8080000000000003,-3.642,0.6709999999999999,-0.743,1.0270000000000001,-8.494,4.486000000000001,1.6380000000000001,3.2960000000000003,-3.306,0.387,-4.2010000000000005,1.4140000000000001,2.157,-14.15,-12.95,-0.57,-5.483,-7.019,-4.547,-0.326,0.326,-1.119
21,1,-5.502999999999999,-4.476,-5.412000000000001,9.104,-2.665,-0.804,-0.895,-0.22399999999999998,2.747,0.478,1.526,-1.16,0.478,-10.874,-6.276,-7.029,-1.8619999999999999,-2.8080000000000003,-1.6680000000000001,-3.9160000000000004,1.2309999999999999,-1.923,-0.6609999999999999,-3.906,-2.9810000000000003,-5.625,-4.405,-6.856,-4.364,-7.456,-7.599,-6.836,-0.682,-4.283,-5.524,-1.577,3.825,-1.139,-8.82,-1.119,0.8540000000000001,-1.2,-4.7,-0.743,-0.43700000000000006,-5.564,2.533,-0.804,0.8540000000000001,-2.33,-1.078,-3.225,0.9259999999999999,-0.285,-18.545,-1.719,-1.058,-5.971,-7.019,-4.547,-1.3019999999999998,-0.163,-6.002000000000001
22,1,-6.48,-5.452000000000001,-7.853,8.616,-2.665,-2.2680000000000002,-0.40700000000000003,-0.22399999999999998,1.2819999999999998,-0.01,-1.4040000000000001,-0.183,-0.01,-5.992000000000001,-6.276,-5.564,2.533,-5.737,-0.203,-5.381,-0.722,-1.4340000000000002,-3.591,-3.906,-4.445,-6.114,-10.752,-7.832999999999999,-6.317,-7.945,-8.087,-6.836,-0.193,0.11199999999999999,-6.0120000000000005,-1.577,-0.081,-2.6039999999999996,-7.355,-0.142,-0.61,-0.22399999999999998,-9.583,0.23399999999999999,-0.43700000000000006,-4.1,-1.8619999999999999,-1.78,-2.563,-2.33,-5.473,-3.713,1.902,-2.7260000000000004,-1.455,-5.1370000000000005,-0.081,-6.9479999999999995,-7.507000000000001,-4.547,-3.7430000000000003,-0.6509999999999999,-6.978
23,1,-4.038,-3.988,-4.435,1.78,0.264,-0.804,0.57,-0.7120000000000001,-0.183,-0.01,-3.845,0.7929999999999999,-0.01,-4.038,-5.3,-1.17,1.068,-4.272,0.773,-4.893,-1.699,-1.4340000000000002,-7.0089999999999995,-3.906,-4.445,-5.1370000000000005,-12.217,-7.345,-8.759,-7.945,-9.552,-3.906,-0.193,4.506,-3.571,-0.11199999999999999,-3.988,-4.069,-2.96,-0.142,-2.075,-1.2,-11.536,1.2109999999999999,0.539,-4.588,-7.721,-0.315,-5.005,-1.841,-9.867,-4.69,3.367,-1.75,-0.966,-7.579,0.895,-7.9239999999999995,-8.484,-4.547,-5.697,-1.139,-4.0489999999999995
24,1,-0.132,-2.035,3.377,-7.985,2.7060000000000004,1.149,2.035,-0.22399999999999998,-2.136,-0.01,-5.797999999999999,0.7929999999999999,-0.01,-5.015,-4.323,2.736,3.998,-4.272,0.773,-5.87,-2.187,-1.4340000000000002,-7.497000000000001,-3.418,-2.9810000000000003,-3.1839999999999997,-9.288,-5.88,-8.759,-7.456,-10.04,0.0,-0.682,3.042,0.8240000000000001,2.33,-2.523,-4.069,1.4340000000000002,-0.631,-2.563,-2.665,-8.606,2.187,0.539,-5.564,-11.139000000000001,1.6380000000000001,-5.005,-1.3530000000000002,-10.356,-4.69,3.855,-1.75,-0.478,-17.832,0.895,-7.9239999999999995,-8.972000000000001,-4.547,-5.697,-1.139,-0.142
25,1,1.821,-2.035,9.237,-17.750999999999998,3.682,2.614,2.035,-0.7120000000000001,-2.625,-0.498,-5.797999999999999,0.305,-0.498,-7.456,-4.323,3.225,-0.397,-2.8080000000000003,-1.18,-12.705,-0.722,-0.946,-5.544,-2.441,-1.516,-0.743,-5.87,-3.927,-7.294,-6.968,-10.04,1.465,-1.17,-3.306,4.242,4.771,4.313,-3.5810000000000004,1.923,-2.096,-3.052,-3.642,-1.2819999999999998,1.699,0.539,-7.029,-11.139000000000001,2.614,-3.052,-0.865,-6.938,-3.225,1.4140000000000001,-1.75,-12.197000000000001,-9.043,0.40700000000000003,-6.46,-8.484,-3.082,-3.7430000000000003,-0.163,2.299
26,1,1.821,-3.4989999999999997,9.237,-22.634,3.194,1.149,1.546,-0.7120000000000001,-1.16,-0.01,-4.333,-0.6709999999999999,-0.01,-8.433,-4.323,1.272,23.041,-8.667,1.261,-16.612000000000002,0.254,-1.4340000000000002,-2.126,-1.953,-1.0270000000000001,-1.2309999999999999,-4.405,-4.415,-5.341,-7.456,-9.552,0.0,-0.682,-10.63,6.195,4.283,9.684,-3.092,-1.0070000000000001,-4.0489999999999995,-1.587,-3.642,5.553999999999999,0.722,0.539,-7.517,-7.721,2.126,-1.587,-1.3530000000000002,-2.055,-2.248,7.273,-5.167999999999999,-15.127,-17.344,-0.081,-4.995,-7.507000000000001,-2.106,-1.79,0.326,1.811
27,1,0.35600000000000004,-5.941,5.33,-20.192,1.2409999999999999,-0.315,1.058,-1.2,1.77,0.966,-1.892,-1.16,0.966,-6.968,-2.858,-0.682,-22.858,-0.8540000000000001,-1.18,-5.87,1.2309999999999999,-1.923,-0.6609999999999999,-2.93,-2.004,-4.649,-4.893,-6.367999999999999,-4.364,-8.433,-8.087,-2.441,1.76,-12.583,6.195,0.376,7.242999999999999,-2.6039999999999996,-3.448,-5.025,0.8540000000000001,-4.618,8.484,-0.254,1.0270000000000001,-7.029,-3.326,1.149,-0.122,-2.818,-0.59,-2.736,-2.9810000000000003,1.6680000000000001,-4.873,-10.508,-0.081,-4.995,-7.996,-3.082,-1.3019999999999998,0.326,0.34600000000000003
28,1,-0.132,-6.428999999999999,-0.040999999999999995,-8.962,0.753,-1.2919999999999998,1.546,-2.177,4.211,2.431,0.061,-1.6480000000000001,2.431,-4.038,-0.41700000000000004,-1.17,-9.186,1.587,-11.922,-11.729000000000001,0.743,-3.387,-1.149,-5.371,-4.445,-9.043,-5.381,-8.809,-5.341,-10.386,-8.087,-2.93,5.178,-6.724,5.707000000000001,-5.971,-1.546,-2.6039999999999996,-1.984,-4.537,3.2960000000000003,-5.595,6.042000000000001,0.23399999999999999,2.492,-7.517,-0.397,0.6609999999999999,-0.122,-5.2589999999999995,-1.567,-5.666,-2.492,1.18,-14.15,-18.809,0.895,-6.9479999999999995,-9.46,-5.035,-2.279,-1.139,-0.142
29,1,1.821,-3.011,-1.994,6.175,2.7060000000000004,0.17300000000000001,3.011,-1.689,6.165,3.8960000000000004,1.038,-0.6709999999999999,3.8960000000000004,-2.574,2.513,0.295,-3.326,-3.2960000000000003,-5.575,-17.588,-0.23399999999999999,-4.852,-3.103,-8.789,-6.399,-13.437999999999999,-3.9160000000000004,-11.251,-7.782,-12.339,-9.552,-0.977,8.596,3.042,5.707000000000001,-10.366,-8.382,-3.5810000000000004,3.387,-3.072,4.761,-7.547999999999999,0.183,2.187,3.957,-8.982000000000001,0.58,2.614,-0.122,-7.212000000000001,-4.496,-10.061,-0.051,-1.75,-31.24,-23.691999999999997,2.36,-9.389,-10.925,-7.965,-4.72,-2.6039999999999996,1.811
30,1,4.262,3.825,-0.529,18.87,6.612,3.591,5.941,0.264,5.676,4.873,0.5489999999999999,0.7929999999999999,4.873,-4.038,3.977,1.76,-2.35,-3.784,-3.6210000000000004,-6.358,-1.699,-5.829,-5.544,-11.719000000000001,-7.375,-15.390999999999998,-2.452,-12.716,-10.712,-13.804,-11.993,1.953,10.549000000000001,9.878,6.195,-9.389,-6.428999999999999,-6.51,9.247,-1.119,4.272,-8.036,-4.7,5.117,5.91,-11.424000000000001,-0.397,6.521,-0.122,-8.189,-6.449,-13.967,0.9259999999999999,-0.285,-43.446999999999996,-20.761999999999997,3.825,-11.831,-12.878,-9.918,-6.672999999999999,-3.5810000000000004,4.252
31,1,6.704,10.661,1.912,23.265,9.542,7.0089999999999995,7.894,3.194,5.188,4.873,0.061,2.258,4.873,-7.456,2.513,1.272,-1.3730000000000002,-5.737,-10.457,-14.659,-3.1639999999999997,-6.317,-7.497000000000001,-13.672,-8.352,-16.855999999999998,-3.428,-14.669,-12.665,-15.269,-14.923,3.418,10.061,9.389,6.683,-3.042,2.36,-8.952,12.177,1.3219999999999998,2.8080000000000003,-7.06,-5.676,7.558,7.375,-12.889000000000001,-2.35,9.939,-1.099,-8.189,-7.426,-16.897000000000002,-0.539,-3.215,-22.939,-14.414000000000001,4.801,-14.272,-14.832,-11.870999999999999,-8.626,-4.5569999999999995,6.694
32,1,7.192,14.079,2.889,16.917,11.007,9.45,9.359,7.1,4.7,3.8960000000000004,0.061,4.211,3.8960000000000004,-9.41,-1.3940000000000001,-0.193,0.092,-2.8080000000000003,-0.6920000000000001,-4.893,-4.14,-6.317,-7.985,-14.648,-9.328,-17.832,-8.311,-16.622,-14.618,-17.222,-18.829,3.418,7.131,3.53,5.218999999999999,4.283,7.242999999999999,-9.927999999999999,10.222999999999999,2.299,0.8540000000000001,-5.107,-2.258,9.023,7.8629999999999995,-13.377,-4.303,11.402999999999999,-3.54,-8.189,-7.426,-18.361,0.43700000000000006,-1.261,-4.3839999999999995,-11.972999999999999,5.29,-15.737,-17.273,-12.847999999999999,-9.603,-4.5569999999999995,7.182
33,1,5.727,12.614,2.401,4.71,10.03,9.939,9.359,8.565,4.7,2.92,1.526,4.7,2.92,-8.433,-4.323,-1.17,-1.8619999999999999,-5.249,-1.6680000000000001,-14.17,-5.117,-5.829,-9.45,-15.137,-10.305,-18.809,-14.17,-19.063,-16.570999999999998,-19.175,-22.247,1.953,4.2010000000000005,-1.841,1.801,8.677,4.313,-6.999,5.341,2.787,-0.122,-4.13,1.6480000000000001,9.023,7.375,-12.889000000000001,-5.28,11.402999999999999,-5.981,-8.189,-8.891,-19.826,2.391,0.203,3.428,-7.579,5.29,-17.69,-20.203,-13.335999999999999,-11.068,-4.5569999999999995,5.229
34,1,4.262,8.219,2.889,-4.079,8.077,7.985,8.382,8.077,5.188,2.92,2.991,4.7,2.92,-4.527,-5.3,0.295,6.9270000000000005,-5.737,-4.11,-10.752,-5.605,-4.852,-10.427,-14.648,-10.305,-19.297,-18.077,-19.552,-17.548,-21.128,-24.2,0.488,2.248,-0.865,-1.617,8.189,-2.035,-1.139,1.4340000000000002,1.811,0.366,-3.642,3.113,8.046,6.399,-11.424000000000001,-5.28,9.45,-7.935,-8.189,-10.356,-19.338,3.367,-2.238,-4.3839999999999995,-17.344,4.313,-18.667,-22.156,-13.335999999999999,-11.556,-4.069,3.764
35,1,3.7739999999999996,3.3369999999999997,4.354,-4.079,6.612,5.544,6.917000000000001,5.636,5.676,2.92,3.967,3.7230000000000003,2.92,-1.109,-4.323,2.248,5.9510000000000005,-6.226,-14.852,-12.217,-5.117,-4.364,-10.915,-13.672,-9.328,-17.832,-18.077,-18.087,-18.035999999999998,-21.128,-23.712,0.977,2.248,4.018,-3.571,3.7939999999999996,-3.4989999999999997,4.232,0.45799999999999996,0.34600000000000003,1.3430000000000002,-4.13,1.6480000000000001,6.582000000000001,5.91,-9.471,-3.815,7.497000000000001,-7.446000000000001,-7.7010000000000005,-10.844000000000001,-17.873,1.4140000000000001,-4.678999999999999,-16.590999999999998,-14.902999999999999,3.825,-18.667,-22.156,-12.847999999999999,-12.044,-3.5810000000000004,3.2760000000000002
