,0,C,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35,C36,C37,C38,C39,C40,C41,C42,C43,C44,C45,C46,C47,C48,C49,C50,C51,C52,C53,C54,C55,C56,C57,C58,C59,C60,C61,C62
0,1,8.881,9.521,9.776,7.4670000000000005,10.671,8.993,11.759,7.172000000000001,11.607000000000001,7.345,7.507000000000001,4.985,7.345,7.965,7.202000000000001,12.98,3.042,2.492,-0.02,1.882,-0.336,0.42700000000000005,-1.2,-1.79,0.631,0.804,-4.618,-2.421,0.071,0.285,-4.425,11.017000000000001,9.918,8.982000000000001,10.366,7.792000000000001,7.7620000000000005,7.284,8.942,4.038,10.081,6.521,4.74,8.484,11.739,2.391,1.3430000000000002,10.122,-0.987,0.336,-2.991,-2.7260000000000004,1.3730000000000002,2.5839999999999996,-4.974,-1.068,7.192,1.689,-3.092,2.8280000000000003,1.2409999999999999,2.452,-4.7
1,1,9.369,9.521,10.264000000000001,5.025,11.648,9.481,13.713,6.683,13.56,9.298,8.484,5.473,9.298,7.477,6.226,14.933,3.53,1.516,-0.02,-0.071,-0.336,-0.5489999999999999,-1.2,-3.7430000000000003,0.631,-1.6380000000000001,-4.618,-3.398,0.071,-0.6920000000000001,-3.937,11.993,10.405999999999999,7.517,11.831,6.816,8.25,4.354,8.942,3.55,11.058,5.056,4.74,9.46,13.204,0.43700000000000006,0.8540000000000001,11.097999999999999,-0.498,-1.617,-2.502,-4.678999999999999,1.8619999999999999,2.096,-4.486000000000001,-2.533,8.657,1.2,-3.092,1.851,1.729,1.963,-4.211
2,1,9.857000000000001,8.545,10.752,2.5839999999999996,12.624,9.481,14.689,6.195,14.048,10.274000000000001,8.484,5.473,10.274000000000001,6.0120000000000005,4.761,15.91,4.018,0.539,-0.02,-1.048,-0.336,-1.038,-0.22399999999999998,-4.232,1.119,-2.126,-4.13,-4.374,1.048,-1.18,-2.472,11.993,10.895,6.053,12.319,4.862,7.7620000000000005,2.889,8.942,3.062,11.546,3.103,4.74,8.972000000000001,13.692,-0.539,0.8540000000000001,11.097999999999999,0.478,-2.594,-1.526,-5.167999999999999,2.838,1.607,-3.0210000000000004,-3.51,9.145,1.689,-2.6039999999999996,1.851,2.7060000000000004,1.475,-2.747
3,1,10.345,8.057,11.241,1.607,12.136,9.481,14.200999999999999,5.707000000000001,13.56,10.274000000000001,7.996,4.496,10.274000000000001,4.547,3.784,16.398,4.506,-0.43700000000000006,0.46799999999999997,-1.048,0.6409999999999999,-1.038,0.753,-3.255,2.096,-0.6609999999999999,-3.642,-3.398,2.513,-1.6680000000000001,-1.0070000000000001,11.505,11.383,5.564,11.831,3.886,7.7620000000000005,3.377,9.43,2.085,11.546,2.126,4.252,8.484,13.204,-0.539,-0.122,11.097999999999999,1.455,-2.594,-0.061,-3.7030000000000003,2.838,1.607,-1.068,-3.0210000000000004,8.657,2.665,-1.6280000000000001,2.34,4.171,1.475,-0.7929999999999999
4,1,11.322000000000001,9.033,12.217,3.072,12.624,9.481,12.735999999999999,5.707000000000001,12.583,8.809,7.507000000000001,4.008,8.809,4.059,4.272,16.398,4.018,0.051,0.956,-0.071,1.129,-0.5489999999999999,2.218,-1.79,3.072,1.78,-2.177,-1.933,3.977,-0.6920000000000001,0.45799999999999996,11.993,12.847999999999999,6.541,11.831,4.862,7.7620000000000005,5.33,9.918,2.085,10.569,1.6380000000000001,4.252,7.996,11.739,0.43700000000000006,-0.122,11.097999999999999,1.455,-2.106,0.9159999999999999,-1.75,2.838,1.607,0.397,-1.556,7.192,3.153,-0.163,3.805,4.659,1.475,0.6709999999999999
5,1,13.275,10.985999999999999,13.682,6.978,13.112,10.457,12.248,7.172000000000001,11.119000000000002,7.345,7.019,4.008,7.345,5.524,5.737,17.375,3.53,1.0270000000000001,0.956,1.3940000000000001,1.129,-0.061,2.218,-0.326,3.56,3.733,-1.2,0.02,4.466,-0.203,0.946,13.947000000000001,15.289000000000001,8.982000000000001,11.342,7.792000000000001,8.738,7.772,11.870999999999999,3.062,9.593,2.614,3.764,8.484,11.251,1.4140000000000001,0.366,12.562999999999999,1.455,-0.153,0.9159999999999999,0.6920000000000001,2.838,2.096,0.397,-0.092,6.215,3.153,0.326,4.781000000000001,4.659,1.963,1.16
6,1,15.717,14.404000000000002,14.659,11.860999999999999,15.065999999999999,13.875,13.224,9.613,11.119000000000002,6.367999999999999,6.042000000000001,5.473,6.367999999999999,7.965,6.226,18.351,2.553,2.9810000000000003,0.46799999999999997,2.858,1.129,0.9159999999999999,1.729,1.139,3.072,5.1979999999999995,-1.2,0.997,4.466,0.773,-0.031,16.875999999999998,16.754,12.889000000000001,11.831,11.698,8.738,9.725,14.800999999999998,5.015,7.64,5.056,3.2760000000000002,10.925,11.739,2.391,0.8540000000000001,15.004000000000001,0.966,2.289,-0.061,1.6680000000000001,1.8619999999999999,3.072,-0.58,1.3730000000000002,6.215,2.665,0.326,5.757999999999999,3.682,1.475,0.6709999999999999
7,1,17.180999999999997,16.846,14.17,15.279000000000002,17.019000000000002,16.805,15.665999999999999,13.030999999999999,11.119000000000002,5.88,4.0889999999999995,6.938,5.88,9.918,5.249,18.84,1.577,3.957,-0.02,3.835,0.153,0.9159999999999999,0.753,1.6280000000000001,2.5839999999999996,4.71,-2.177,0.997,3.489,0.773,-1.0070000000000001,18.829,17.730999999999998,15.33,11.342,15.116,7.273,10.700999999999999,17.242,7.456,6.175,6.521,1.811,13.367,13.204,1.4140000000000001,-0.122,17.934,0.478,3.265,-1.526,2.157,1.3730000000000002,3.56,-1.556,1.3730000000000002,7.192,1.689,-0.163,5.757999999999999,2.7060000000000004,0.987,-0.7929999999999999
8,1,17.180999999999997,17.334,12.705,14.790999999999999,18.483,18.27,17.619,14.495999999999999,11.607000000000001,6.367999999999999,2.625,8.891,6.367999999999999,9.43,2.319,17.863,0.6,4.445,-1.485,3.835,-0.336,0.9159999999999999,-0.7120000000000001,1.6280000000000001,1.607,3.733,-3.153,0.02,2.513,0.773,-1.495,18.829,17.242,15.33,11.342,16.093,4.832,10.700999999999999,17.730999999999998,8.921,5.1979999999999995,7.497000000000001,-0.142,15.32,14.181,-0.539,-1.587,19.399,-0.498,2.7769999999999997,-2.991,1.6680000000000001,1.3730000000000002,3.56,-2.533,0.885,8.657,1.2,-0.6509999999999999,4.781000000000001,1.729,0.01,-1.77
9,1,15.717,15.869000000000002,9.776,11.860999999999999,17.995,17.782,18.595,13.519,11.607000000000001,6.856,1.6480000000000001,8.891,6.856,6.989,-0.61,16.398,0.6,2.9810000000000003,-1.973,1.882,-0.8240000000000001,-0.061,-1.2,0.6509999999999999,1.119,2.2680000000000002,-4.618,-1.444,0.5589999999999999,0.773,-2.472,16.875999999999998,14.800999999999998,13.377,10.366,14.14,2.391,9.725,16.754,7.945,5.1979999999999995,7.0089999999999995,-1.119,14.832,14.669,-2.9810000000000003,-3.54,18.910999999999998,-0.498,1.3119999999999998,-3.4789999999999996,0.203,1.3730000000000002,3.072,-3.0210000000000004,-0.092,10.122,0.22399999999999998,-1.6280000000000001,3.805,0.753,-0.478,-2.258
