,trial number,sensor position,sample num,sensor value,subject identifier,matching condition,channel,name,time
5,65,FP1,0,-7.721,a,S2 match,0,co2a0000372,0
6,65,FP1,1,-7.233,a,S2 match,0,co2a0000372,0.00390625
7,65,FP1,2,-4.303,a,S2 match,0,co2a0000372,0.0078125
8,65,FP1,3,-1.862,a,S2 match,0,co2a0000372,0.01171875
9,65,FP1,4,-1.862,a,S2 match,0,co2a0000372,0.015625
10,65,FP1,5,-3.326,a,S2 match,0,co2a0000372,0.01953125
11,65,FP1,6,-5.768,a,S2 match,0,co2a0000372,0.0234375
12,65,FP1,7,-7.233,a,S2 match,0,co2a0000372,0.02734375
13,65,FP1,8,-6.744,a,S2 match,0,co2a0000372,0.03125
14,65,FP1,9,-5.28,a,S2 match,0,co2a0000372,0.03515625
15,65,FP1,10,-4.303,a,S2 match,0,co2a0000372,0.0390625
16,65,FP1,11,-3.326,a,S2 match,0,co2a0000372,0.04296875
17,65,FP1,12,-2.35,a,S2 match,0,co2a0000372,0.046875
18,65,FP1,13,-0.885,a,S2 match,0,co2a0000372,0.05078125
19,65,FP1,14,1.068,a,S2 match,0,co2a0000372,0.0546875
20,65,FP1,15,2.533,a,S2 match,0,co2a0000372,0.05859375
21,65,FP1,16,3.021,a,S2 match,0,co2a0000372,0.0625
22,65,FP1,17,3.51,a,S2 match,0,co2a0000372,0.06640625
23,65,FP1,18,3.998,a,S2 match,0,co2a0000372,0.0703125
24,65,FP1,19,5.951,a,S2 match,0,co2a0000372,0.07421875
25,65,FP1,20,8.392,a,S2 match,0,co2a0000372,0.078125
26,65,FP1,21,10.345,a,S2 match,0,co2a0000372,0.08203125
27,65,FP1,22,9.857,a,S2 match,0,co2a0000372,0.0859375
28,65,FP1,23,7.904,a,S2 match,0,co2a0000372,0.08984375
29,65,FP1,24,4.486,a,S2 match,0,co2a0000372,0.09375
30,65,FP1,25,1.556,a,S2 match,0,co2a0000372,0.09765625
31,65,FP1,26,1.068,a,S2 match,0,co2a0000372,0.1015625
32,65,FP1,27,2.533,a,S2 match,0,co2a0000372,0.10546875
33,65,FP1,28,5.463,a,S2 match,0,co2a0000372,0.109375
34,65,FP1,29,9.369,a,S2 match,0,co2a0000372,0.11328125
35,65,FP1,30,10.834,a,S2 match,0,co2a0000372,0.1171875
36,65,FP1,31,10.834,a,S2 match,0,co2a0000372,0.12109375
