,trial number,sensor position,sample num,sensor value,subject identifier,matching condition,channel,name,time
5,59,FP1,0,8.881,c,"S2 nomatch,",0,co2c0000345,0
6,59,FP1,1,9.369,c,"S2 nomatch,",0,co2c0000345,0.00390625
7,59,FP1,2,9.857,c,"S2 nomatch,",0,co2c0000345,0.0078125
8,59,FP1,3,10.345,c,"S2 nomatch,",0,co2c0000345,0.01171875
9,59,FP1,4,11.322,c,"S2 nomatch,",0,co2c0000345,0.015625
10,59,FP1,5,13.275,c,"S2 nomatch,",0,co2c0000345,0.01953125
11,59,FP1,6,15.717,c,"S2 nomatch,",0,co2c0000345,0.0234375
12,59,FP1,7,17.181,c,"S2 nomatch,",0,co2c0000345,0.02734375
13,59,FP1,8,17.181,c,"S2 nomatch,",0,co2c0000345,0.03125
14,59,FP1,9,15.717,c,"S2 nomatch,",0,co2c0000345,0.03515625
15,59,FP1,10,12.787,c,"S2 nomatch,",0,co2c0000345,0.0390625
16,59,FP1,11,10.834,c,"S2 nomatch,",0,co2c0000345,0.04296875
17,59,FP1,12,9.857,c,"S2 nomatch,",0,co2c0000345,0.046875
18,59,FP1,13,9.857,c,"S2 nomatch,",0,co2c0000345,0.05078125
19,59,FP1,14,9.369,c,"S2 nomatch,",0,co2c0000345,0.0546875
20,59,FP1,15,8.392,c,"S2 nomatch,",0,co2c0000345,0.05859375
21,59,FP1,16,5.951,c,"S2 nomatch,",0,co2c0000345,0.0625
22,59,FP1,17,3.51,c,"S2 nomatch,",0,co2c0000345,0.06640625
23,59,FP1,18,0.58,c,"S2 nomatch,",0,co2c0000345,0.0703125
24,59,FP1,19,-1.373,c,"S2 nomatch,",0,co2c0000345,0.07421875
25,59,FP1,20,-1.862,c,"S2 nomatch,",0,co2c0000345,0.078125
26,59,FP1,21,-0.397,c,"S2 nomatch,",0,co2c0000345,0.08203125
27,59,FP1,22,2.533,c,"S2 nomatch,",0,co2c0000345,0.0859375
28,59,FP1,23,5.463,c,"S2 nomatch,",0,co2c0000345,0.08984375
29,59,FP1,24,8.881,c,"S2 nomatch,",0,co2c0000345,0.09375
30,59,FP1,25,10.345,c,"S2 nomatch,",0,co2c0000345,0.09765625
31,59,FP1,26,10.834,c,"S2 nomatch,",0,co2c0000345,0.1015625
32,59,FP1,27,11.322,c,"S2 nomatch,",0,co2c0000345,0.10546875
33,59,FP1,28,13.275,c,"S2 nomatch,",0,co2c0000345,0.109375
34,59,FP1,29,15.717,c,"S2 nomatch,",0,co2c0000345,0.11328125
35,59,FP1,30,19.135,c,"S2 nomatch,",0,co2c0000345,0.1171875
36,59,FP1,31,21.576,c,"S2 nomatch,",0,co2c0000345,0.12109375
37,59,FP1,32,22.064,c,"S2 nomatch,",0,co2c0000345,0.125
38,59,FP1,33,21.576,c,"S2 nomatch,",0,co2c0000345,0.12890625
39,59,FP1,34,21.088,c,"S2 nomatch,",0,co2c0000345,0.1328125
40,59,FP1,35,20.599,c,"S2 nomatch,",0,co2c0000345,0.13671875
41,59,FP1,36,20.111,c,"S2 nomatch,",0,co2c0000345,0.140625
42,59,FP1,37,18.158,c,"S2 nomatch,",0,co2c0000345,0.14453125
43,59,FP1,38,14.74,c,"S2 nomatch,",0,co2c0000345,0.1484375
44,59,FP1,39,10.345,c,"S2 nomatch,",0,co2c0000345,0.15234375
45,59,FP1,40,5.951,c,"S2 nomatch,",0,co2c0000345,0.15625
46,59,FP1,41,3.998,c,"S2 nomatch,",0,co2c0000345,0.16015625
47,59,FP1,42,3.51,c,"S2 nomatch,",0,co2c0000345,0.1640625
48,59,FP1,43,3.51,c,"S2 nomatch,",0,co2c0000345,0.16796875
49,59,FP1,44,3.021,c,"S2 nomatch,",0,co2c0000345,0.171875
50,59,FP1,45,1.556,c,"S2 nomatch,",0,co2c0000345,0.17578125
51,59,FP1,46,0.092,c,"S2 nomatch,",0,co2c0000345,0.1796875
52,59,FP1,47,-0.885,c,"S2 nomatch,",0,co2c0000345,0.18359375
53,59,FP1,48,0.092,c,"S2 nomatch,",0,co2c0000345,0.1875
54,59,FP1,49,2.533,c,"S2 nomatch,",0,co2c0000345,0.19140625
55,59,FP1,50,4.974,c,"S2 nomatch,",0,co2c0000345,0.1953125
56,59,FP1,51,7.416,c,"S2 nomatch,",0,co2c0000345,0.19921875
57,59,FP1,52,7.416,c,"S2 nomatch,",0,co2c0000345,0.203125
58,59,FP1,53,6.439,c,"S2 nomatch,",0,co2c0000345,0.20703125
59,59,FP1,54,3.998,c,"S2 nomatch,",0,co2c0000345,0.2109375
60,59,FP1,55,1.556,c,"S2 nomatch,",0,co2c0000345,0.21484375
61,59,FP1,56,0.092,c,"S2 nomatch,",0,co2c0000345,0.21875
