,0,C,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35,C36,C37,C38,C39,C40,C41,C42,C43,C44,C45,C46,C47,C48,C49,C50,C51,C52,C53,C54,C55,C56,C57,C58,C59,C60,C61,C62
0,1,-7.721,-4.954,-2.543,-3.418,-1.923,-1.0270000000000001,-0.45799999999999996,2.024,-3.591,-1.821,-2.767,1.455,-1.821,6.165,-1.76,0.631,-1.719,1.984,-1.19,4.242,0.295,2.553,1.2209999999999999,3.123,1.933,6.439,0.6409999999999999,2.38,1.2919999999999998,3.977,2.818,-5.971,-3.418,-2.6860000000000004,-2.95,0.061,-2.319,10.061,-5.402,3.7230000000000003,-1.8719999999999999,4.9030000000000005,-1.455,1.4240000000000002,-1.851,6.297000000000001,-1.19,-1.76,0.092,3.011,0.061,4.343999999999999,-0.6709999999999999,1.2409999999999999,0.804,4.578,-0.478,1.74,2.574,1.912,-0.17300000000000001,1.0070000000000001,2.696
1,1,-7.233,-3.0010000000000003,-2.543,0.0,-1.923,-1.0270000000000001,-0.45799999999999996,2.513,-3.103,-1.821,-2.279,0.966,-1.821,5.676,-1.76,2.096,-1.719,1.984,-1.19,4.242,0.295,2.065,0.732,2.635,1.933,5.462999999999999,0.153,1.4040000000000001,0.804,2.513,1.841,-5.483,-2.441,-2.6860000000000004,-2.95,-0.42700000000000005,-2.319,7.131,-4.913,3.235,-1.383,5.391,-1.455,1.4240000000000002,-1.851,6.297000000000001,-1.19,-1.76,0.58,3.011,0.061,3.855,-0.6709999999999999,1.2409999999999999,0.315,3.6010000000000004,-0.966,0.763,1.597,0.9359999999999999,-0.17300000000000001,1.0070000000000001,1.719
2,1,-4.303,-1.048,-2.055,5.371,-0.946,-0.051,0.031,3.489,-2.126,-1.3330000000000002,-1.3019999999999998,1.455,-1.3330000000000002,5.676,-1.76,2.5839999999999996,-1.719,2.96,-0.7020000000000001,4.73,0.295,1.577,0.732,2.146,1.444,3.998,-0.336,0.42700000000000005,-0.17300000000000001,1.048,0.865,-4.018,-0.977,0.244,-1.485,2.0140000000000002,-1.831,3.225,-2.472,1.77,-0.895,4.415,-0.966,1.912,-0.875,4.832,-1.19,-0.7829999999999999,0.58,3.011,0.5489999999999999,3.367,-0.6709999999999999,1.2409999999999999,-0.17300000000000001,2.136,-0.478,-0.214,0.132,0.44799999999999995,-0.6609999999999999,0.519,0.743
3,1,-1.8619999999999999,0.41700000000000004,-2.055,8.301,0.519,1.4140000000000001,1.0070000000000001,3.977,-1.149,-0.35600000000000004,-0.8140000000000001,1.455,-0.35600000000000004,5.188,-1.272,1.607,-1.2309999999999999,2.96,-0.7020000000000001,4.242,0.295,1.088,0.244,1.6580000000000001,0.956,3.0210000000000004,-0.336,-0.5489999999999999,-0.6609999999999999,-0.41700000000000004,-0.11199999999999999,-2.553,0.0,3.662,-0.509,3.967,-0.8540000000000001,1.76,-1.0070000000000001,1.77,-0.40700000000000003,2.4619999999999997,-0.478,2.401,0.59,3.367,-0.7020000000000001,0.682,0.58,2.523,0.5489999999999999,1.902,-0.183,1.2409999999999999,-0.6609999999999999,0.6709999999999999,-0.478,-1.19,-1.3330000000000002,-0.529,-0.6609999999999999,0.519,-0.722
4,1,-1.8619999999999999,0.41700000000000004,-2.055,5.859,1.0070000000000001,1.902,1.495,3.489,-1.149,0.132,-0.8140000000000001,1.455,0.132,4.7,-1.272,-0.8340000000000001,-0.743,2.472,-0.7020000000000001,3.7539999999999996,0.295,0.6,0.244,0.682,0.46799999999999997,2.045,-0.8240000000000001,-1.526,-1.149,-1.3940000000000001,-1.577,-1.088,-0.977,6.5920000000000005,-0.02,3.4789999999999996,-0.8540000000000001,1.76,-1.0070000000000001,1.2819999999999998,0.081,0.509,0.01,2.401,1.078,1.902,-0.7020000000000001,1.17,0.58,1.546,0.061,0.43700000000000006,-0.183,0.753,-1.149,-0.7929999999999999,0.01,-1.6780000000000002,-2.309,-1.0170000000000001,-1.149,0.519,-1.699
5,1,-3.326,-1.048,-3.031,0.977,0.519,0.9259999999999999,1.0070000000000001,2.513,-1.6380000000000001,0.132,-0.8140000000000001,1.455,0.132,4.211,-1.76,-3.2760000000000002,-0.254,1.495,-1.19,2.289,0.295,0.6,0.244,0.193,0.46799999999999997,1.556,-1.3119999999999998,-2.0140000000000002,-1.149,-1.3940000000000001,-1.577,-0.6,-4.395,9.033,-0.509,0.061,-1.3430000000000002,2.736,-2.96,1.77,0.081,-0.46799999999999997,0.01,1.4240000000000002,0.59,1.4140000000000001,-1.6780000000000002,0.193,0.092,0.57,-0.42700000000000005,-0.051,-0.183,0.753,-2.126,-1.77,0.01,-1.19,-2.309,-1.0170000000000001,-0.6609999999999999,0.519,-2.187
6,1,-5.768,-2.024,-4.496,-2.93,-1.4340000000000002,-0.539,-0.45799999999999996,1.536,-2.614,-0.35600000000000004,-1.3019999999999998,0.966,-0.35600000000000004,3.7230000000000003,-2.736,-4.252,-0.254,1.0070000000000001,-1.6780000000000002,1.3119999999999998,0.7829999999999999,1.088,0.732,0.682,1.444,2.533,-1.801,-0.5489999999999999,-0.17300000000000001,-0.41700000000000004,-1.088,-1.088,-8.301,9.521,-1.485,-2.8689999999999998,-2.8080000000000003,2.736,-4.425,2.258,-0.40700000000000003,0.509,-0.966,0.9359999999999999,-1.3630000000000002,1.902,-2.655,-1.272,0.092,0.57,-0.42700000000000005,0.9259999999999999,-0.183,0.264,-1.6380000000000001,-0.7929999999999999,-0.478,0.275,-1.3330000000000002,-0.529,-0.17300000000000001,1.0070000000000001,-1.2109999999999999
7,1,-7.233,-2.024,-5.473,-2.441,-3.387,-2.004,-1.4340000000000002,2.024,-3.103,-0.8440000000000001,-1.79,0.478,-0.8440000000000001,4.211,-3.225,-3.764,-0.743,1.0070000000000001,-1.6780000000000002,1.801,1.272,2.065,1.709,2.146,2.909,3.998,-1.801,1.892,1.2919999999999998,1.536,0.865,-2.553,-12.207,9.521,-1.973,-2.8689999999999998,-3.784,2.248,-4.913,2.747,-0.40700000000000003,2.95,-1.455,-0.040999999999999995,-2.8280000000000003,3.367,-2.655,-2.736,0.58,2.035,0.5489999999999999,2.8789999999999996,-0.183,0.753,-0.6609999999999999,1.6480000000000001,-0.966,2.716,0.621,1.4240000000000002,1.2919999999999998,1.495,0.743
8,1,-6.744,-1.536,-5.473,0.0,-5.341,-2.9810000000000003,-2.411,3.0010000000000003,-3.103,-1.3330000000000002,-2.279,0.478,-1.3330000000000002,4.211,-3.225,-1.3219999999999998,-0.743,2.472,-1.6780000000000002,3.265,1.76,3.042,2.197,4.1,4.862,5.9510000000000005,-0.8240000000000001,4.333,3.245,4.466,2.33,-4.018,-14.16,8.057,-2.4619999999999997,0.061,-3.784,1.272,-3.937,2.747,-0.895,4.9030000000000005,-1.943,-0.529,-3.805,4.832,-2.655,-3.713,1.068,3.988,1.526,5.32,-0.183,1.2409999999999999,0.315,4.578,-1.455,5.157,3.062,3.377,2.7569999999999997,2.472,2.696
9,1,-5.28,-0.5589999999999999,-4.008,2.441,-5.829,-2.9810000000000003,-2.8989999999999996,3.489,-2.126,-1.821,-2.279,-0.01,-1.821,4.7,-2.248,0.631,-0.743,3.448,-0.7020000000000001,5.218999999999999,2.736,4.018,3.174,5.564,5.8389999999999995,7.416,0.153,6.775,4.71,6.419,3.7939999999999996,-5.483,-13.184000000000001,5.615,-1.973,3.967,-3.2960000000000003,0.7829999999999999,-3.448,2.258,-0.895,5.391,-1.455,-0.529,-3.805,5.32,-1.6780000000000002,-4.2010000000000005,1.556,5.452000000000001,2.0140000000000002,6.785,0.305,1.729,1.2919999999999998,7.019,-1.455,6.622000000000001,5.502999999999999,5.33,3.733,3.448,3.6719999999999997
