,0,C,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35,C36,C37,C38,C39,C40,C41,C42,C43,C44,C45,C46,C47,C48,C49,C50,C51,C52,C53,C54,C55,C56,C57,C58,C59,C60,C61,C62
0,1,4.801,2.767,5.819,-0.6920000000000001,2.96,2.045,1.0070000000000001,1.984,1.251,0.01,2.818,0.529,0.01,1.3730000000000002,3.4589999999999996,1.068,-0.275,1.068,-2.33,0.22399999999999998,-2.299,-1.109,-1.6780000000000002,-0.366,-4.252,3.306,2.94,-2.116,-1.444,-1.455,2.136,-1.973,12.145999999999999,2.543,4.252,2.157,5.157,2.614,8.362,2.96,2.33,2.33,2.736,1.6580000000000001,1.17,3.9160000000000004,3.469,2.6860000000000004,-0.376,0.804,-0.45799999999999996,0.895,-0.753,0.5589999999999999,9.857000000000001,0.46799999999999997,0.254,-2.543,0.092,-2.279,-3.55,-2.7569999999999997,4.659
1,1,6.755,3.7430000000000003,7.772,1.261,4.425,2.533,1.495,2.472,2.716,0.498,2.818,0.529,0.498,-1.556,2.4819999999999998,0.58,-2.716,-1.3730000000000002,-5.747000000000001,-1.729,-2.787,-1.597,-2.655,-0.8540000000000001,-5.229,2.33,-0.478,-3.092,-1.933,-2.431,2.136,-0.997,11.658,4.985,5.7170000000000005,2.645,4.181,1.149,7.385,1.495,2.33,1.3530000000000002,1.76,1.6580000000000001,2.146,2.94,2.492,4.15,-1.3530000000000002,-0.17300000000000001,-1.923,0.40700000000000003,-1.729,1.536,3.0210000000000004,1.933,0.743,-3.52,-1.3730000000000002,-2.767,-3.55,-3.245,7.1
2,1,7.242999999999999,4.232,6.307,0.285,4.425,2.045,1.984,1.984,3.2039999999999997,0.987,1.841,0.529,0.987,-3.998,0.529,-0.397,-4.181,-1.8619999999999999,-6.724,-3.194,-3.764,-2.085,-4.6080000000000005,-1.831,-5.7170000000000005,0.376,-4.873,-3.5810000000000004,-3.886,-4.3839999999999995,-1.77,1.933,7.751,4.496,5.229,2.157,1.251,-2.2680000000000002,3.967,0.519,1.841,-0.11199999999999999,-0.682,1.6580000000000001,3.123,0.987,-0.9259999999999999,4.638999999999999,-2.818,-1.6380000000000001,-4.364,-1.058,-3.682,0.071,-16.998,3.398,1.2309999999999999,-4.985,-3.815,-3.255,-5.015,-3.245,7.5889999999999995
3,1,6.266,3.255,2.889,-2.157,3.937,1.556,1.984,1.495,2.716,0.987,-0.6,-0.44799999999999995,0.987,-4.486000000000001,-3.377,-1.8619999999999999,-4.669,-0.885,-6.236000000000001,-3.682,-4.252,-2.574,-6.0729999999999995,-2.319,-5.229,-1.577,-7.8020000000000005,-3.092,-5.351,-4.873,-4.7,3.886,3.3569999999999998,2.055,3.2760000000000002,0.6920000000000001,-2.655,-5.1979999999999995,1.526,-0.45799999999999996,0.376,-2.065,-3.611,0.193,3.123,-1.943,-5.32,3.662,-4.771,-2.614,-6.805,-2.035,-2.7060000000000004,0.5589999999999999,-23.834,-13.692,1.2309999999999999,-5.961,-4.791,-3.255,-5.502999999999999,-3.733,6.124
4,1,3.825,1.3019999999999998,-0.529,-3.6210000000000004,2.96,0.092,1.495,0.519,1.251,0.01,-3.53,-0.9359999999999999,0.01,-4.974,-6.795,-3.815,-5.646,-0.885,-6.724,-3.682,-4.74,-2.574,-6.0729999999999995,-1.831,-3.2760000000000002,-3.53,-7.314,-1.139,-4.374,-2.92,-3.7230000000000003,3.398,0.42700000000000005,-0.875,1.3219999999999998,-0.285,-5.585,-6.662999999999999,1.038,-0.45799999999999996,-2.065,-3.53,-6.541,-0.7829999999999999,2.146,-4.3839999999999995,-8.738,3.174,-6.236000000000001,-3.103,-7.294,-2.035,-0.264,3.489,-11.139000000000001,2.909,0.743,-4.008,-2.35,-1.79,-5.015,-3.245,3.682
5,1,1.383,-0.163,-2.4819999999999998,-2.645,1.984,0.092,1.495,0.031,0.275,-0.478,-5.483,-0.9359999999999999,-0.478,-5.9510000000000005,-10.213,-6.256,-6.622000000000001,-0.885,-9.165,-3.682,-4.252,-1.597,-4.6080000000000005,-1.3430000000000002,-1.3219999999999998,-4.018,-5.849,0.8140000000000001,-1.444,-0.478,1.6480000000000001,-0.02,-1.038,-3.3160000000000003,-0.142,-0.285,-6.561,-6.662999999999999,1.038,0.031,-3.53,-4.506,-8.494,-0.295,1.6580000000000001,-5.849,-11.668,2.197,-6.236000000000001,-2.614,-6.317,-1.546,-1.729,2.513,-7.233,9.257,0.743,-1.078,1.556,-0.326,-3.55,-2.2680000000000002,1.2409999999999999
6,1,0.895,-0.6509999999999999,-1.994,-0.6920000000000001,1.984,0.092,1.984,0.519,-0.214,-0.478,-6.9479999999999995,0.040999999999999995,-0.478,-6.9270000000000005,-11.677999999999999,-8.698,-7.599,0.092,-12.095,-2.7060000000000004,-4.252,-1.109,-3.1430000000000002,-0.366,-0.8340000000000001,-4.018,-6.337000000000001,1.3019999999999998,0.509,0.498,5.066,-5.391,-1.038,-4.293,-0.631,-0.285,-7.05,-6.175,1.038,0.519,-4.018,-4.018,-8.982000000000001,1.17,1.6580000000000001,-6.337000000000001,-12.155999999999999,2.197,-5.747000000000001,-1.6380000000000001,-4.364,-1.058,-2.7060000000000004,0.071,-5.768,-9.298,0.743,0.387,3.0210000000000004,0.6509999999999999,-2.085,-1.78,0.264
7,1,1.383,-0.163,-1.0170000000000001,-0.6920000000000001,2.472,0.58,2.96,1.495,0.275,0.01,-6.9479999999999995,0.529,0.01,-7.416,-11.677999999999999,-11.627,-6.1339999999999995,1.556,-12.095,-1.729,-3.764,-0.621,-3.6319999999999997,0.122,-1.3219999999999998,-2.553,-9.267000000000001,0.326,-0.956,-1.455,0.6709999999999999,-9.786,-0.061,-4.293,-0.142,-0.285,-7.05,-6.175,1.526,1.495,-3.53,-3.53,-8.982000000000001,2.146,2.146,-5.361000000000001,-12.644,3.174,-5.747000000000001,-1.149,-5.341,-0.081,0.22399999999999998,3.0010000000000003,-10.162,-5.391,1.2309999999999999,-0.59,-0.885,0.6509999999999999,-2.085,-1.2919999999999998,0.753
8,1,1.8719999999999999,0.326,-0.529,-3.133,2.96,1.068,2.96,2.472,0.763,0.01,-5.971,1.0170000000000001,0.01,-6.9270000000000005,-10.700999999999999,-13.092,-3.693,2.533,-8.677,-1.2409999999999999,-4.252,-0.132,-6.0729999999999995,0.122,-2.787,-1.577,-13.173,-1.6280000000000001,-6.327000000000001,-4.873,-11.536,-12.227,1.892,-3.805,0.34600000000000003,-0.773,-7.537999999999999,-7.151,1.526,1.984,-2.553,-2.065,-8.494,1.6580000000000001,2.635,-3.8960000000000004,-12.644,3.662,-6.236000000000001,-0.6609999999999999,-8.27,-0.081,1.2,3.977,0.58,10.722000000000001,0.743,-4.496,-8.698,-0.8140000000000001,-3.55,-1.78,1.729
9,1,1.383,-0.163,-1.0170000000000001,-7.039,2.472,0.58,1.984,1.984,0.763,-0.478,-4.995,1.0170000000000001,-0.478,-5.9510000000000005,-9.725,-14.557,-2.228,2.045,-4.771,-1.2409999999999999,-4.252,-0.132,-8.514,0.122,-3.2760000000000002,-1.088,-14.638,-2.116,-11.21,-7.8020000000000005,-23.743000000000002,-11.739,2.38,-3.805,0.8340000000000001,-1.75,-7.05,-7.64,1.526,2.472,-1.577,-1.088,-7.029,1.17,2.146,-2.431,-12.155999999999999,3.174,-6.724,-0.17300000000000001,-11.2,-0.081,-1.729,-0.41700000000000004,-0.885,-6.367999999999999,0.743,-7.914,-14.557,-1.3019999999999998,-5.502999999999999,-1.78,1.729
